"STATION","NAME","DATE","TMAX","TMIN"
"MXM00076680","MEXICO CITY, MX","2009-05-26",,
"MXM00076680","MEXICO CITY, MX","2009-05-27","87","57"
"MXM00076680","MEXICO CITY, MX","2009-05-28","87","59"
"MXM00076680","MEXICO CITY, MX","2009-05-29","87","57"
"MXM00076680","MEXICO CITY, MX","2009-05-30","85","57"
"MXM00076680","MEXICO CITY, MX","2009-06-02","76","51"
"MXM00076680","MEXICO CITY, MX","2009-06-03",,
"MXM00076680","MEXICO CITY, MX","2009-06-04","78","54"
"MXM00076680","MEXICO CITY, MX","2009-06-05","78","54"
"MXM00076680","MEXICO CITY, MX","2009-06-06",,
"MXM00076680","MEXICO CITY, MX","2009-06-08",,
"MXM00076680","MEXICO CITY, MX","2009-06-09","86","57"
"MXM00076680","MEXICO CITY, MX","2009-06-10","86","58"
"MXM00076680","MEXICO CITY, MX","2009-06-11","86","58"
"MXM00076680","MEXICO CITY, MX","2009-06-12","87","61"
"MXM00076680","MEXICO CITY, MX","2009-06-13","87","60"
"MXM00076680","MEXICO CITY, MX","2009-06-14","86","58"
"MXM00076680","MEXICO CITY, MX","2009-06-15","83","57"
"MXM00076680","MEXICO CITY, MX","2009-06-16","83","57"
"MXM00076680","MEXICO CITY, MX","2009-06-17","74","54"
"MXM00076680","MEXICO CITY, MX","2009-06-18","77","57"
"MXM00076680","MEXICO CITY, MX","2009-06-19","72","57"
"MXM00076680","MEXICO CITY, MX","2009-06-22","67","55"
"MXM00076680","MEXICO CITY, MX","2009-06-23",,
"MXM00076680","MEXICO CITY, MX","2009-06-24","78","56"
"MXM00076680","MEXICO CITY, MX","2009-06-25",,
"MXM00076680","MEXICO CITY, MX","2009-06-26",,
"MXM00076680","MEXICO CITY, MX","2009-06-27","79","56"
"MXM00076680","MEXICO CITY, MX","2009-06-28","79","56"
"MXM00076680","MEXICO CITY, MX","2009-06-30","78","56"
"MXM00076680","MEXICO CITY, MX","2009-07-15","80","56"
"MXM00076680","MEXICO CITY, MX","2009-07-16","81","56"
"MXM00076680","MEXICO CITY, MX","2009-07-17","82","57"
"MXM00076680","MEXICO CITY, MX","2009-07-18","80","56"
"MXM00076680","MEXICO CITY, MX","2009-07-19",,
"MXM00076680","MEXICO CITY, MX","2009-07-20","82","56"
"MXM00076680","MEXICO CITY, MX","2009-07-21","82","56"
"MXM00076680","MEXICO CITY, MX","2009-07-22","82","58"
"MXM00076680","MEXICO CITY, MX","2009-07-23","81","57"
"MXM00076680","MEXICO CITY, MX","2009-07-24",,
"MXM00076680","MEXICO CITY, MX","2009-07-25","83","55"
"MXM00076680","MEXICO CITY, MX","2009-07-27","81","54"
"MXM00076680","MEXICO CITY, MX","2009-07-28","76","55"
"MXM00076680","MEXICO CITY, MX","2009-07-29","80","54"
"MXM00076680","MEXICO CITY, MX","2009-07-30","81","54"
"MXM00076680","MEXICO CITY, MX","2009-07-31",,
